O_code,D_code,car_time,bus_time,ship_time,rail_time,air_time,car_cost,bus_cost,ship_cost,rail_cost,air_cost
2,35,1299.3438,1471.6,-,611.9,372.9,32310,17900,-,34790,71420
2,36,1049.5836,1186.8,-,651.8,316.8,28100,17840,-,32340,68620
2,37,1088.7488,1271.8,-,576.5,314,29430,17340,-,30790,68890
2,38,1196.6172,1358.9,-,690.8,313.8,32720,19800,-,33430,61270
2,39,1177.2534,1344,-,693.1,348.1,31980,20600,-,33030,71200
2,40,1425.482,1496.6,-,619.2,300.5,36180,20700,-,35660,58240
2,41,1484.7768,1990.3,-,677.1,388.1,36930,26850,-,37460,76780
2,42,1541.993,1729.8,-,760,359.7,39070,26340,-,39080,58880
2,43,1523.1762,1688.5,-,702.8,383.8,37990,20760,-,39580,70480
2,44,1475.806,1749.6,-,700.1,369.1,37350,24550,-,38150,70130
2,45,1651.393,2050.9,-,898.1,326.9,41750,30780,-,45800,68430
2,46,1662.6612,2046.9,-,749.8,389.8,41900,29830,-,43360,59400
2,47,-,-,-,-,364.7,-,-,-,-,60240
2,48,731.992,1129.7,-,620.6,300.6,13720,13820,-,19060,47740
2,49,503.4554,691.5,484.3,385.1,206.1,6760,8050,9850,13560,25770
2,50,220,-,244.9,149.4,204.8,2200,-,2320,5490,43010
3,1,783.7382,1104,-,581,347,17510,13780,-,19220,35400
3,2,186.4176,235.3,-,128.4,-,4540,3450,-,6460,-
3,3,0,-,-,-,-,0,-,-,-,-
3,4,167.7102,207.3,-,93.2,300.4,4680,3180,-,6870,60250
3,5,144.1892,499.2,-,138.5,-,1600,7690,-,4620,-
3,6,203.5934,265.9,-,202.1,335.5,5910,3910,-,7750,64550
3,7,230.1776,299.1,-,124.9,351.7,6210,4080,-,8950,66860
3,8,373.054,686.8,-,295.4,466.4,10500,8580,-,17490,41380
3,9,356.5346,728.9,-,188.4,476.4,9830,9330,-,12500,39500
3,10,427.3164,640.9,-,242.3,495.3,12000,8050,-,17430,41360
3,11,436.3966,490.6,-,163.4,256.3,12530,6720,-,13990,28820
3,12,485.189,540.2,-,233.1,395.1,13670,7500,-,15480,38690
3,13,453.5724,498.2,-,203,231.5,13350,6840,-,14380,28820
3,14,472.8268,538,-,218.9,352.9,14120,8170,-,15280,37770
3,15,370.2096,482.8,-,301.6,382.6,10300,7270,-,21640,62000
3,16,571.9432,699.1,-,301,404,15500,11190,-,23360,68610
3,17,612.64,747.9,-,338.6,470.6,16860,11790,-,24510,36130
3,18,679.2646,839.3,-,386.1,326.2,18680,13490,-,25840,39530
3,19,562.2066,655,-,309.7,477.7,15340,8660,-,16840,41690
3,20,536.3882,670.5,-,245.3,484.3,14070,10370,-,19040,41600
3,21,741.732,854.8,-,330.7,312.7,20040,11560,-,23140,35680
3,22,613.4058,720.1,-,266.8,474.8,17770,9430,-,19470,38450
3,23,723.8998,805.4,-,301.3,264.3,20730,11180,-,23010,35300
3,24,799.4952,886.3,-,369.2,345.2,22710,11990,-,24720,37010
3,25,814.5924,898.1,-,343.9,289.9,22350,15380,-,25170,42290
3,26,833.7374,894.7,-,340.5,287.5,21110,15440,-,25240,41780
3,27,851.3508,947.1,-,369,257,25810,15660,-,25590,41500
3,28,882.9674,968.6,-,371,270.2,26330,15890,-,25840,41600
3,29,849.8192,975.8,-,377.5,292.7,22830,15530,-,25600,42380
3,30,914.2558,1092.7,-,445.2,336.2,26950,15630,-,26350,42370
3,31,952.327,1119.5,-,506.8,372.8,23990,17220,-,29790,46780
3,32,1059.3202,1162.1,-,589.2,361.2,28630,17970,-,30500,63430
3,33,983.9436,1083.6,-,413.4,440.4,26830,16430,-,27750,43800
3,34,1100.564,1196,-,463.3,364.8,30980,18560,-,29560,51120
3,35,1205.3692,1326.4,-,523.7,427.7,33630,16900,-,32400,51860
3,36,955.4996,1058.7,-,563.6,391.6,29420,16850,-,30270,49150
3,37,994.7742,1143.7,-,488.3,388.8,30750,16360,-,28400,49420
3,38,1102.6426,1214.8,-,602.6,327.6,34040,20030,-,31360,60370
3,39,1083.2788,1205.8,-,604.9,371.9,33300,18460,-,30960,61420
3,40,1331.398,1387.5,-,531,293.3,37500,19860,-,33270,52260
3,41,1390.8022,1870.2,-,588.9,354.9,38250,24840,-,35280,54700
3,42,1447.909,1614.6,-,671.8,378.5,40390,25730,-,36690,70600
3,43,1429.2016,1578.3,-,614.6,384.6,39310,18950,-,37180,57560
3,44,1381.8314,1641.4,-,611.9,387.9,38670,24830,-,35760,63050
3,45,1557.309,1930.8,-,809.9,340.7,43070,28770,-,43730,67530
3,46,1568.6866,1926.8,-,661.6,403.6,43220,27820,-,41190,72320
3,47,-,-,-,-,396.5,-,-,-,-,64140
3,48,918.4096,1386.9,1046,718.4,354.4,18260,17490,16490,21100,52740
3,49,689.873,948.6,-,482.9,259.9,11300,11720,-,15930,30770
3,50,406.4176,519.6,-,247.2,332.2,6740,6690,-,10390,48910
4,1,916.6592,1182.5,-,633.9,304.9,21530,16310,-,22770,37250
4,2,319.3386,337.4,-,181.2,246.7,8560,6200,-,11410,55370
4,3,169.7888,207.3,-,93,300.7,4680,3180,-,6870,60420
4,4,0,-,-,-,-,0,-,-,-,-
4,5,225.2546,340,-,191.4,283.3,6250,4910,-,10570,59350
4,6,63.2332,93.3,-,125,-,1700,930,-,1170,-
4,7,89.8174,128.9,-,60.7,-,2100,1300,-,3880,-
4,8,238.3826,563.6,-,248.3,258.2,6350,5380,-,9810,22270
4,9,216.1744,-,-,124.3,301.6,5990,-,-,8620,24660
4,10,286.9562,515.7,-,207.2,314.9,8210,5300,-,14410,23250
4,11,296.0364,365.4,-,128.3,238.9,8700,3970,-,10870,19920
4,12,350.5176,404,-,197.9,201.9,9570,4220,-,12140,22520
4,13,313.2122,386,-,167.9,214.1,9520,3570,-,11370,19920
4,14,338.2648,401.8,-,183.8,208.7,10000,4470,-,11940,19920
4,15,229.74,323.6,-,266.5,-,6450,4490,-,19600,-
4,16,431.583,539.9,-,265.9,357.9,11660,8410,-,21640,34600
4,17,472.2798,575.5,-,303.5,287.5,12960,10040,-,22470,33350
4,18,538.9044,663,-,351,260,14840,10710,-,23790,33300
4,19,421.8464,543.8,-,274.6,377.3,11490,5750,-,14040,68490
4,20,395.9186,511.3,-,210.2,435.2,10240,7590,-,16570,40620
4,21,601.2624,678.6,-,295.5,258.5,16200,8780,-,20770,33900
4,22,473.0456,596.9,-,231.7,411.7,13950,6230,-,16880,36580
4,23,583.5396,629.2,1373.8,266.1,227.1,16890,8400,10350,20640,33470
4,24,659.135,710.1,-,334,295,18870,9210,-,22350,35200
4,25,674.2322,721.9,-,308.8,262.8,18510,12600,-,22690,35840
4,26,693.3772,718.5,-,305.4,260.4,17270,12660,-,22760,35330
4,27,710.9906,770.9,-,333.8,229.8,21970,12880,-,23210,35050
4,28,742.6072,792.4,-,335.8,243,22490,13110,-,23470,35150
4,29,709.3496,755.4,-,342.4,265.5,18990,13020,-,23120,35930
4,30,773.7862,848.1,-,410.1,288.1,23110,13750,-,23970,25910
4,31,811.9668,959.3,-,471.7,337.7,20160,16400,-,27420,43440
4,32,918.96,1070.9,-,554.1,352.1,24920,15400,-,28130,45510
4,33,843.474,967.3,-,378.3,383.3,23000,16100,-,25600,45970
4,34,960.2038,1076.8,-,428.2,298.7,27140,17850,-,27510,44890
4,35,1065.009,1203.2,-,488.6,384.6,29790,13700,-,30030,51320
4,36,815.1394,899.5,-,528.4,356.4,25590,16600,-,27900,45810
4,37,854.414,941.5,-,453.2,353.7,26910,17350,-,26030,46080
4,38,962.2824,1054.6,-,567.4,300.4,30210,19600,-,28990,53920
4,39,942.9186,1054.6,-,569.7,344.7,29460,18850,-,28590,54970
4,40,1191.0378,1276.3,-,495.9,236.2,33660,16950,-,31110,48910
4,41,1250.3326,1532,-,553.8,297.8,34420,24300,-,32910,51350
4,42,1307.5488,1354.4,-,636.6,351.4,36560,20780,-,34640,64150
4,43,1288.8414,1313.1,-,579.5,327.5,35470,15200,-,35140,54210
4,44,1241.4712,1367.2,-,576.8,360.8,34830,20550,-,33390,56600
4,45,1416.9488,1628.6,-,774.8,313.6,39230,26520,-,41360,61080
4,46,1428.3264,1628.6,-,626.5,380.5,39380,25270,-,38810,59530
